Instance	LB_0 (1)	obj. funct. val. (2)
----------------------------------------------------
j1201_a		65		118
j1201_b		86		133
j1202_a		78		120
j1202_b		79		122
j1203_a		86		92
j1203_b		107		107
j1204_a		81		97
j1204_b		79		86
j1205_a		78		92
j1205_b		106		116
j1206_a		93		223
j1206_b		84		254
j1207_a		85		182
j1207_b		84		193
j1208_a		83		145
j1208_b		95		134
j1209_a		80		106
j1209_b		98		141
j12010_a	79		107
j12010_b	95		131
j12011_a	109		368
j12011_b	98		272
j12012_a	84		216
j12012_b	72		190
j12013_a	106		195
j12013_b	79		138
j12014_a	101		139
j12014_b	91		136
j12015_a	126		144
j12015_b	81		101
j12016_a	88		332
j12016_b	90		303
j12017_a	72		169
j12017_b	74		192
j12018_a	72		142
j12018_b	101		198
j12019_a	92		160
j12019_b	93		129
j12020_a	89		133
j12020_b	74		107
j12021_a	101		153
j12021_b	97		146
j12022_a	87		124
j12022_b	124		144
j12023_a	105		127
j12023_b	96		112
j12024_a	91		104
j12024_b	104		123
j12025_a	108		109
j12025_b	100		100
j12026_a	132		305
j12026_b	94		294
j12027_a	101		206
j12027_b	77		173
j12028_a	102		146
j12028_b	97		168
j12029_a	80		115
j12029_b	88		137
j12030_a	83		107
j12030_b	86		109
j12031_a	126		385
j12031_b	87		331
j12032_a	86		202
j12032_b	81		221
j12033_a	115		184
j12033_b	88		171
j12034_a	100		138
j12034_b	94		140
j12035_a	91		128
j12035_b	87		113
j12036_a	96		378
j12036_b	95		394
j12037_a	95		255
j12037_b	114		335
j12038_a	92		195
j12038_b	134		216
j12039_a	100		166
j12039_b	95		137
j12040_a	91		118
j12040_b	90		111
j12041_a	90		161
j12041_b	100		184
j12042_a	103		130
j12042_b	101		156
j12043_a	111		128
j12043_b	117		146
j12044_a	98		108
j12044_b	104		124
j12045_a	103		117
j12045_b	104		114
j12046_a	141		331
j12046_b	97		267
j12047_a	107		209
j12047_b	107		236
j12048_a	105		191
j12048_b	104		173
j12049_a	93		149
j12049_b	90		141
j12050_a	101		135
j12050_b	102		128
j12051_a	114		401
j12051_b	110		376
j12052_a	95		246
j12052_b	88		240
j12053_a	116		180
j12053_b	130		279
j12054_a	89		160
j12054_b	111		161
j12055_a	90		126
j12055_b	106		142
j12056_a	96		377
j12056_b	100		420
j12057_a	120		322
j12057_b	86		262
j12058_a	91		186
j12058_b	98		226
j12059_a	102		156
j12059_b	90		172
j12060_a	101		133
j12060_b	96		153

----------------------------------------------------

(1) Adapted lower bound LB_0 based on 

Krueger, D., 2009. Multi-Project Scheduling with Resource 
Transfers. Books on Demand GmbH, Norderstedt, Germany.

(2) Objective function values obtained by the TS algorithm from

Poppenborg, J., Knust, S., 2014. A flow-based tabu search 
algorithm for the RCSP with transfer times.
