instance,expected_optimum,aslib_best,expected_diff,computed_objective,lower_bound,optimal,duration,status
aslib0_12968,121,120,1,131.0,,False,30.007048878,NOT_OPTIMAL
aslib0_12975,136,127,9,221.0,,False,30.004844196,NOT_OPTIMAL
aslib0_13146,155,138,17,155.0,,True,0.05927428,OK
aslib0_1315,80,79,1,80.0,,True,1.096148008,OK
aslib0_1362,79,77,2,79.0,,True,2.760501317,OK
aslib0_13668,130,129,1,133.0,,False,30.00548216,NOT_OPTIMAL
aslib0_13674,125,123,2,125.0,,False,30.005131956,NOT_OPTIMAL
aslib0_13916,136,135,1,140.0,,False,30.005235399,NOT_OPTIMAL
aslib0_15189,140,137,3,140.0,,True,1.287091619,OK
aslib0_15236,170,147,23,170.0,,True,0.835440277,OK
aslib0_15379,133,131,2,,,,,ERROR: Invalid JSON from solver: Expecting value: line 1 column 4091 (char 4090)
aslib0_15730,122,119,3,135.0,,False,30.005000306,NOT_OPTIMAL
aslib0_1594,80,79,1,80.0,,True,5.348481325,OK
aslib0_1683,83,81,2,90.0,,False,30.00496701,NOT_OPTIMAL
aslib0_17571,168,166,2,168.0,,False,30.004878618,NOT_OPTIMAL
aslib0_18737,171,166,5,225.0,,False,30.004487135,NOT_OPTIMAL
aslib0_19092,165,161,4,165.0,,True,0.651877786,OK
aslib0_19197,210,201,9,210.0,,False,30.006974395,NOT_OPTIMAL
aslib0_19228,199,197,2,199.0,,False,30.005558942,NOT_OPTIMAL
aslib0_20614,222,213,9,230.0,,False,30.004786851,NOT_OPTIMAL
aslib0_20665,217,214,3,223.0,,False,30.004231545,NOT_OPTIMAL
aslib0_20871,223,221,2,245.0,,False,30.005308612,NOT_OPTIMAL
aslib0_20948,228,219,9,228.0,,False,30.005667115,NOT_OPTIMAL
aslib0_21847,196,195,1,207.0,,False,30.006040062,NOT_OPTIMAL
aslib0_22372,246,241,5,252.0,,False,30.005141091,NOT_OPTIMAL
aslib0_22415,240,235,5,240.0,,False,30.007560387,NOT_OPTIMAL
aslib0_22748,262,225,37,321.0,,False,30.00613709,NOT_OPTIMAL
aslib0_23127,248,242,6,257.0,,False,30.009184255,NOT_OPTIMAL
aslib0_23181,238,226,12,238.0,,False,30.006500394,NOT_OPTIMAL
aslib0_23183,271,254,17,280.0,,False,30.006802696,NOT_OPTIMAL
aslib0_23197,261,247,14,263.0,,False,30.005386321,NOT_OPTIMAL
aslib0_23975,238,235,3,285.0,,False,30.014889085,NOT_OPTIMAL
aslib0_24384,182,181,1,182.0,,True,1.46925952,OK
aslib0_24449,173,171,2,173.0,,True,3.14470723,OK
aslib0_24641,163,156,7,163.0,,True,13.704415468,OK
aslib0_24981,197,194,3,208.0,,False,30.005135599,NOT_OPTIMAL
aslib0_25575,176,168,8,176.0,,True,2.092822112,OK
aslib0_25678,193,176,17,193.0,,False,30.007952299,NOT_OPTIMAL
aslib0_25691,170,162,8,170.0,,False,30.004969969,NOT_OPTIMAL
aslib0_25744,204,203,1,224.0,,False,30.01116246,NOT_OPTIMAL
aslib0_26936,173,163,10,201.0,,False,30.010845681,NOT_OPTIMAL
aslib0_26973,191,177,14,205.0,,False,30.007800004,NOT_OPTIMAL
aslib0_27236,274,234,40,274.0,,True,0.749871511,OK
aslib0_27420,195,191,4,195.0,,True,24.255390516,OK
aslib0_2747,80,79,1,81.0,,False,30.005631306,NOT_OPTIMAL
aslib0_27644,157,155,2,157.0,,True,4.416659134,OK
aslib0_2847,79,77,2,79.0,,True,8.47811451,OK
aslib0_28496,218,214,4,218.0,,True,14.511686383,OK
aslib0_2880,93,91,2,96.0,,False,30.006746798,NOT_OPTIMAL
aslib0_28893,213,206,7,237.0,,False,30.00514001,NOT_OPTIMAL
aslib0_29082,182,180,2,182.0,,True,0.325862181,OK
aslib0_29399,225,219,6,225.0,,True,5.963582849,OK
aslib0_29446,198,197,1,198.0,,True,13.327952268,OK
aslib0_29680,204,187,17,270.0,,False,30.004866362,NOT_OPTIMAL
aslib0_29738,201,196,5,245.0,,False,30.0046801,NOT_OPTIMAL
aslib0_29896,218,214,4,245.0,,False,30.004451522,NOT_OPTIMAL
aslib0_30748,239,232,7,256.0,,False,30.009737956,NOT_OPTIMAL
aslib0_30968,217,202,15,256.0,,False,30.00603124,NOT_OPTIMAL
aslib0_31160,187,184,3,187.0,,True,20.530889017,OK
aslib0_31181,214,207,7,214.0,,True,0.951998412,OK
aslib0_31187,199,189,10,199.0,,True,1.148341391,OK
aslib0_31196,202,196,6,202.0,,False,30.005843317,NOT_OPTIMAL
aslib0_31321,182,177,5,182.0,,True,8.112311886,OK
aslib0_31460,198,189,9,242.0,,False,30.004332598,NOT_OPTIMAL
aslib0_31636,202,201,1,205.0,,False,30.00563016,NOT_OPTIMAL
aslib0_3175,89,85,4,89.0,,True,10.109816387,OK
aslib0_3187,92,91,1,92.0,,True,22.438127018,OK
aslib0_31963,210,196,14,253.0,,False,30.005268189,NOT_OPTIMAL
aslib0_32566,234,231,3,234.0,,False,30.004979056,NOT_OPTIMAL
aslib0_32578,212,201,11,212.0,,False,30.005181443,NOT_OPTIMAL
aslib0_32589,205,176,29,210.0,,False,30.006427249,NOT_OPTIMAL
aslib0_32623,241,233,8,241.0,,False,30.008130919,NOT_OPTIMAL
aslib0_32634,262,261,1,301.0,,False,30.005338397,NOT_OPTIMAL
aslib0_32635,231,224,7,263.0,,False,30.005531106,NOT_OPTIMAL
aslib0_32641,258,254,4,258.0,,False,30.004459502,NOT_OPTIMAL
aslib0_32673,228,223,5,236.0,,False,30.005989411,NOT_OPTIMAL
aslib0_32737,245,240,5,253.0,,False,30.004958241,NOT_OPTIMAL
aslib0_32827,236,227,9,236.0,,False,30.006462586,NOT_OPTIMAL
aslib0_32899,252,251,1,335.0,,False,30.006524285,NOT_OPTIMAL
aslib0_32938,260,254,6,305.0,,False,30.005297383,NOT_OPTIMAL
aslib0_32968,249,242,7,252.0,,False,30.005170825,NOT_OPTIMAL
aslib0_33098,297,290,7,297.0,,True,6.061821443,OK
aslib0_33321,244,239,5,244.0,,False,30.053675528,NOT_OPTIMAL
aslib0_33326,258,251,7,272.0,,False,30.005570363,NOT_OPTIMAL
aslib0_33471,254,251,3,306.0,,False,30.004668117,NOT_OPTIMAL
aslib0_33641,226,225,1,229.0,,False,30.004969997,NOT_OPTIMAL
aslib0_33668,249,245,4,262.0,,False,30.006249022,NOT_OPTIMAL
aslib0_33669,259,248,11,259.0,,False,30.004680818,NOT_OPTIMAL
aslib0_33680,273,269,4,400.0,,False,30.005728819,NOT_OPTIMAL
aslib0_33845,257,252,5,257.0,,False,30.004829176,NOT_OPTIMAL
aslib0_33989,293,287,6,298.0,,False,30.005690973,NOT_OPTIMAL
aslib0_34376,246,244,2,246.0,,True,6.793398751,OK
aslib0_34397,243,242,1,243.0,,True,23.860447023,OK
aslib0_34484,251,250,1,251.0,,True,22.405332254,OK
aslib0_34875,225,219,6,243.0,,False,30.004669888,NOT_OPTIMAL
aslib0_34892,218,208,10,354.0,,False,30.005725068,NOT_OPTIMAL
aslib0_34968,253,247,6,268.0,,False,30.005357171,NOT_OPTIMAL
aslib0_35124,245,242,3,249.0,,False,30.007162466,NOT_OPTIMAL
aslib0_35167,259,254,5,259.0,,True,12.636727848,OK
aslib0_35174,259,244,15,259.0,,False,30.006568802,NOT_OPTIMAL
aslib0_35212,279,271,8,279.0,,False,30.005765842,NOT_OPTIMAL
aslib0_35220,247,239,8,396.0,,False,30.005627832,NOT_OPTIMAL
aslib0_35224,274,256,18,274.0,,False,30.00757476,NOT_OPTIMAL
aslib0_35247,240,236,4,240.0,,False,30.005773125,NOT_OPTIMAL
aslib0_35373,249,236,13,249.0,,False,30.005974213,NOT_OPTIMAL
aslib0_35433,258,257,1,367.0,,False,30.005966551,NOT_OPTIMAL
aslib0_35438,260,259,1,313.0,,False,30.009672766,NOT_OPTIMAL
aslib0_35577,203,191,12,205.0,,False,30.088009047,NOT_OPTIMAL
aslib0_35676,265,251,14,300.0,,False,30.006198608,NOT_OPTIMAL
aslib0_35690,255,246,9,293.0,,False,30.00558468,NOT_OPTIMAL
aslib0_35963,259,256,3,277.0,,False,30.008086544,NOT_OPTIMAL
aslib0_35976,271,261,10,323.0,,False,30.006575482,NOT_OPTIMAL
