filename,cmax,state,runtime,best_solution_time
aslib0_0a.RCP,100,Optimal,0.033,0.011
aslib0_1a.RCP,82,Optimal,0.054,0.015
aslib0_2a.RCP,109,Optimal,0.081,0.017
aslib0_3a.RCP,94,Optimal,0.072,0.015
aslib0_4a.RCP,102,Optimal,0.077,0.017
aslib0_5a.RCP,93,Optimal,0.084,0.037
aslib0_6a.RCP,104,Optimal,0.053,0.02
aslib0_7a.RCP,82,Optimal,0.074,0.013
aslib0_8a.RCP,111,Optimal,0.072,0.012
aslib0_9a.RCP,96,Optimal,0.051,0.016
aslib0_10a.RCP,93,Optimal,0.053,0.015
aslib0_11a.RCP,100,Optimal,0.058,0.021
aslib0_12a.RCP,87,Optimal,0.069,0.017
aslib0_13a.RCP,102,Optimal,0.053,0.028
aslib0_14a.RCP,95,Optimal,0.069,0.014
aslib0_15a.RCP,93,Optimal,0.057,0.013
aslib0_16a.RCP,95,Optimal,0.054,0.017
aslib0_17a.RCP,97,Optimal,0.07,0.015
aslib0_18a.RCP,96,Optimal,0.062,0.019
aslib0_19a.RCP,101,Optimal,0.057,0.012
aslib0_20a.RCP,96,Optimal,0.07,0.015
aslib0_21a.RCP,100,Optimal,0.048,0.026
aslib0_22a.RCP,84,Optimal,0.039,0.014
aslib0_23a.RCP,88,Optimal,0.071,0.037
aslib0_24a.RCP,87,Optimal,0.058,0.048
aslib0_25a.RCP,92,Optimal,0.065,0.015
aslib0_26a.RCP,98,Optimal,0.024,0.015
aslib0_27a.RCP,98,Optimal,0.065,0.015
aslib0_28a.RCP,90,Optimal,0.101,0.071
aslib0_29a.RCP,92,Optimal,0.052,0.014
aslib0_30a.RCP,99,Optimal,0.063,0.017
aslib0_31a.RCP,105,Optimal,0.079,0.015
aslib0_32a.RCP,89,Optimal,0.055,0.013
aslib0_33a.RCP,110,Optimal,0.073,0.017
aslib0_34a.RCP,90,Optimal,0.057,0.015
aslib0_35a.RCP,82,Optimal,0.072,0.014
aslib0_36a.RCP,105,Optimal,0.062,0.012
aslib0_37a.RCP,90,Optimal,0.056,0.019
aslib0_38a.RCP,109,Optimal,0.036,0.018
aslib0_39a.RCP,93,Optimal,0.082,0.015
aslib0_40a.RCP,107,Optimal,0.067,0.018
aslib0_41a.RCP,95,Optimal,0.073,0.02
aslib0_42a.RCP,85,Optimal,0.072,0.038
aslib0_43a.RCP,114,Optimal,0.041,0.014
aslib0_44a.RCP,102,Optimal,0.086,0.016
aslib0_45a.RCP,96,Optimal,0.056,0.024
aslib0_46a.RCP,99,Optimal,0.047,0.017
aslib0_47a.RCP,112,Optimal,0.052,0.015
aslib0_48a.RCP,106,Optimal,0.044,0.018
aslib0_49a.RCP,101,Optimal,0.059,0.03
aslib0_50a.RCP,104,Optimal,0.047,0.026
aslib0_51a.RCP,83,Optimal,0.062,0.02
aslib0_52a.RCP,113,Optimal,0.07,0.034
aslib0_53a.RCP,115,Optimal,0.055,0.047
aslib0_54a.RCP,96,Optimal,0.056,0.023
aslib0_55a.RCP,91,Optimal,0.055,0.011
aslib0_56a.RCP,89,Optimal,0.076,0.013
aslib0_57a.RCP,98,Optimal,0.056,0.014
